"wife_work" "wife_age" "wife_edu" "husband_edu" "children" "husband_job" "living_index"
"0" 21 "3" "3" 1 "3" "2"
"0" 38 "1" "3" 2 "3" "3"
"0" 44 "4" "4" 1 "1" "4"
"0" 42 "2" "4" 1 "3" "3"
"0" 26 "3" "4" 1 "4" "1"
"0" 24 "3" "4" 0 "3" "1"
"0" 38 "4" "4" 1 "1" "4"
"0" 29 "4" "4" 0 "1" "4"
"0" 24 "4" "4" 0 "2" "2"
"0" 26 "2" "4" 0 "1" "2"
"0" 43 "1" "2" 8 "3" "1"
"0" 47 "2" "3" 0 "1" "3"
"0" 26 "4" "4" 0 "1" "4"
"0" 31 "4" "4" 0 "1" "4"
"0" 34 "4" "4" 1 "2" "3"
"0" 43 "4" "4" 5 "1" "4"
"0" 47 "1" "2" 2 "1" "3"
"0" 27 "2" "4" 1 "1" "3"
"0" 25 "4" "4" 1 "3" "3"
"0" 29 "4" "4" 0 "2" "4"
"0" 38 "4" "4" 1 "1" "4"
"0" 49 "4" "4" 6 "1" "4"
"0" 24 "2" "4" 1 "4" "4"
"0" 28 "4" "4" 0 "1" "4"
"0" 24 "2" "2" 3 "2" "1"
"0" 38 "2" "2" 1 "3" "2"
"0" 41 "2" "3" 1 "2" "3"
"0" 19 "2" "3" 0 "2" "2"
"0" 27 "2" "4" 3 "3" "2"
"0" 44 "3" "4" 4 "1" "3"
"0" 45 "4" "4" 1 "3" "3"
"0" 32 "3" "3" 7 "2" "3"
"0" 34 "4" "4" 3 "3" "3"
"0" 44 "2" "1" 3 "3" "2"
"0" 43 "1" "3" 2 "2" "2"
"0" 30 "4" "4" 0 "1" "3"
"0" 26 "3" "3" 3 "2" "4"
"0" 30 "4" "4" 0 "3" "3"
"0" 47 "4" "4" 1 "1" "3"
"0" 32 "4" "4" 1 "1" "3"
"0" 35 "4" "4" 2 "2" "4"
"0" 30 "4" "4" 0 "1" "4"
"0" 40 "3" "3" 1 "3" "3"
"0" 20 "3" "4" 0 "2" "4"
"0" 49 "2" "2" 8 "3" "1"
"0" 32 "2" "4" 0 "3" "4"
"0" 30 "2" "4" 4 "1" "4"
"0" 45 "2" "4" 2 "2" "4"
"0" 49 "2" "1" 10 "2" "4"
"0" 34 "4" "4" 2 "1" "4"
"0" 48 "2" "1" 3 "4" "3"
"0" 35 "3" "4" 5 "2" "2"
"0" 31 "3" "4" 3 "3" "2"
"0" 18 "3" "4" 0 "3" "1"
"0" 25 "2" "2" 3 "3" "1"
"0" 36 "2" "4" 2 "2" "4"
"0" 31 "3" "4" 0 "2" "3"
"0" 34 "2" "3" 3 "3" "2"
"0" 45 "1" "2" 1 "3" "3"
"0" 27 "3" "4" 2 "2" "2"
"0" 34 "3" "2" 8 "2" "3"
"0" 31 "3" "3" 2 "2" "3"
"0" 32 "4" "4" 4 "1" "3"
"0" 21 "3" "4" 0 "3" "1"
"0" 39 "1" "1" 5 "3" "1"
"0" 27 "2" "3" 1 "3" "4"
"0" 37 "2" "3" 5 "3" "2"
"0" 34 "4" "4" 2 "1" "3"
"0" 46 "3" "2" 11 "2" "2"
"0" 26 "4" "4" 1 "1" "4"
"0" 44 "2" "2" 1 "3" "2"
"0" 47 "1" "2" 7 "3" "2"
"0" 43 "1" "3" 5 "3" "2"
"0" 29 "3" "3" 3 "2" "4"
"0" 42 "3" "4" 10 "3" "2"
"0" 47 "1" "1" 6 "3" "1"
"0" 23 "3" "4" 2 "2" "3"
"0" 43 "2" "3" 6 "3" "3"
"0" 29 "2" "4" 2 "4" "4"
"0" 22 "4" "4" 0 "1" "4"
"0" 29 "4" "2" 0 "2" "2"
"0" 23 "4" "4" 1 "2" "4"
"0" 23 "4" "4" 2 "3" "3"
"0" 36 "3" "3" 2 "2" "4"
"0" 25 "1" "4" 2 "3" "3"
"0" 36 "2" "2" 0 "3" "3"
"0" 37 "2" "3" 5 "2" "4"
"0" 28 "1" "4" 2 "2" "3"
"0" 30 "3" "3" 5 "3" "4"
"0" 40 "1" "1" 2 "3" "4"
"0" 21 "1" "3" 0 "3" "4"
"0" 35 "1" "2" 0 "4" "4"
"0" 21 "1" "2" 1 "3" "4"
"0" 34 "4" "3" 0 "3" "3"
"0" 30 "4" "4" 3 "2" "4"
"0" 25 "4" "4" 0 "2" "4"
"0" 30 "2" "3" 4 "3" "2"
"0" 33 "4" "4" 1 "3" "4"
"0" 27 "2" "2" 1 "3" "2"
"0" 30 "2" "3" 2 "2" "4"
"0" 42 "3" "3" 3 "2" "4"
"0" 34 "2" "3" 7 "3" "3"
"0" 37 "2" "3" 2 "3" "3"
"0" 25 "2" "3" 1 "2" "1"
"0" 39 "4" "4" 2 "1" "4"
"0" 44 "4" "4" 3 "1" "4"
"0" 28 "2" "4" 1 "3" "4"
"0" 33 "4" "4" 0 "3" "3"
"0" 29 "4" "4" 0 "2" "4"
"0" 48 "1" "1" 8 "2" "2"
"0" 29 "3" "4" 4 "1" "3"
"0" 35 "3" "3" 2 "2" "2"
"0" 45 "2" "3" 4 "2" "4"
"0" 26 "4" "4" 2 "1" "4"
"0" 36 "3" "3" 5 "1" "3"
"0" 30 "4" "4" 2 "1" "4"
"0" 38 "4" "4" 4 "1" "2"
"0" 37 "4" "4" 2 "3" "3"
"0" 28 "2" "1" 2 "3" "3"
